Finca,Parcela,Fecha,NDVI
bodegas ochoa,(1)153T,2023-01-03,0.34547275
bodegas ochoa,(1)153T,2023-01-13,0.35468253
bodegas ochoa,(1)153T,2023-01-28,0.3201133
bodegas ochoa,(1)153T,2023-02-02,0.3287219
bodegas ochoa,(1)153T,2023-02-12,0.3153384
bodegas ochoa,(1)153T,2023-02-17,0.27041128
bodegas ochoa,(1)153T,2023-03-04,0.31087783
bodegas ochoa,(1)153T,2023-03-09,0.31344518
bodegas ochoa,(1)153T,2023-04-03,0.40405586
bodegas ochoa,(1)153T,2023-04-18,0.3747687
bodegas ochoa,(1)153T,2023-05-03,0.37217197
bodegas ochoa,(1)153T,2023-05-18,0.2973661
bodegas ochoa,(1)153T,2023-05-23,0.278656
bodegas ochoa,(1)153T,2023-06-02,0.2802519
bodegas ochoa,(1)153T,2023-06-17,0.34526768
bodegas ochoa,(1)153T,2023-06-22,0.40765628
bodegas ochoa,(1)153T,2023-06-27,0.3577138
bodegas ochoa,(1)153T,2023-07-07,0.33940887
bodegas ochoa,(1)153T,2023-07-12,0.38355842
bodegas ochoa,(1)153T,2023-07-17,0.3665326
bodegas ochoa,(1)153T,2023-07-22,0.40210944
bodegas ochoa,(1)153T,2023-07-27,0.36020634
bodegas ochoa,(1)153T,2023-08-01,0.40282917
bodegas ochoa,(1)153T,2023-08-06,0.40453142
bodegas ochoa,(1)153T,2023-08-11,0.38411608
bodegas ochoa,(1)153T,2023-08-16,0.37558556
bodegas ochoa,(1)153T,2023-08-21,0.35397807
bodegas ochoa,(1)153T,2023-08-26,0.35861164
bodegas ochoa,(1)153T,2023-08-31,0.35249758
bodegas ochoa,(1)153T,2023-09-05,0.35867593
bodegas ochoa,(1)153T,2023-09-20,0.5215824
bodegas ochoa,(1)153T,2023-09-25,0.552439
bodegas ochoa,(1)153T,2023-09-30,0.50805974
bodegas ochoa,(1)153T,2023-10-05,0.46452278
bodegas ochoa,(1)153T,2023-10-10,0.42145586
bodegas ochoa,(1)153T,2023-10-15,0.418204
bodegas ochoa,(1)153T,2023-11-14,0.5108195
bodegas ochoa,(1)153T,2023-11-19,0.5198923
bodegas ochoa,(1)153T,2023-11-24,0.5212545
bodegas ochoa,(1)153T,2023-11-29,0.47484133
bodegas ochoa,(1)153T,2023-12-19,0.26792887
bodegas ochoa,(1)153T,2023-12-24,0.59240043
bodegas ochoa,(1)153T,2024-01-23,0.5349759
bodegas ochoa,(1)153T,2024-02-02,0.5326062
bodegas ochoa,(1)153T,2024-02-07,0.5198704
bodegas ochoa,(1)153T,2024-02-12,0.5342981
bodegas ochoa,(1)153T,2024-02-17,0.49595574
bodegas ochoa,(1)153T,2024-03-28,0.56045383
bodegas ochoa,(1)153T,2024-04-12,0.58745074
bodegas ochoa,(1)153T,2024-04-22,0.52997273
bodegas ochoa,(1)153T,2024-05-02,0.5219697
bodegas ochoa,(1)153T,2024-06-01,0.43948507
bodegas ochoa,(1)153T,2024-06-06,0.42023858
bodegas ochoa,(1)153T,2024-06-16,0.32097578
bodegas ochoa,(1)153T,2024-06-26,0.31425527
bodegas ochoa,(1)153T,2024-07-01,0.35264945
bodegas ochoa,(1)153T,2024-07-11,0.3180589
bodegas ochoa,(1)153T,2024-07-16,0.33098724
bodegas ochoa,(1)153T,2024-07-26,0.30184582
bodegas ochoa,(1)153T,2024-07-31,0.33361176
bodegas ochoa,(1)153T,2024-08-05,0.3209943
bodegas ochoa,(1)153T,2024-08-10,0.31050578
bodegas ochoa,(1)153T,2024-08-15,0.3392596
bodegas ochoa,(1)153T,2024-08-20,0.35584062
bodegas ochoa,(1)153T,2024-09-09,0.5091421
bodegas ochoa,(1)153T,2024-09-14,0.5553934
bodegas ochoa,(1)153T,2024-09-19,0.5540042
bodegas ochoa,(1)153T,2024-09-24,0.5212963
bodegas ochoa,(1)153T,2024-09-29,0.5706364
bodegas ochoa,(1)153T,2024-10-04,0.557447
bodegas ochoa,(1)153T,2024-10-24,0.5996752
bodegas ochoa,(1)153T,2024-11-13,0.68250394
bodegas ochoa,(1)153T,2024-11-23,0.5693668
bodegas ochoa,(1)153T,2024-12-03,0.52171355
bodegas ochoa,(1)153T,2024-12-18,0.58020234
bodegas ochoa,(1)153T,2024-12-23,0.5936541
bodegas ochoa,(1)153T,2025-01-12,0.56749713
bodegas ochoa,(1)153T,2025-01-17,0.52653784
bodegas ochoa,(1)153T,2025-02-01,0.5874366
bodegas ochoa,(1)153T,2025-02-06,0.5247061
bodegas ochoa,(1)153T,2025-03-30,0.52501625
bodegas ochoa,(1)153T,2025-04-07,0.55639225
bodegas ochoa,(1)153T,2025-04-09,0.5556491
